DATE,YEAR,MONTH,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
1990-12-31,1990,12,Arghakhanchi,27.9,83.2,3.01,93.86,4.47,38.36,15.44,1.11,22.54,11.17,11.37,12.97,2.06,3.44,0.73,2.71,2.79,4.27,0.92,3.35
1991-01-31,1991,1,Arghakhanchi,27.9,83.2,6.14,93.69,3.92,37.88,13.64,-0.92,20.97,8.91,12.06,11.76,2.24,3.92,0.9,3.01,2.95,4.5,1.05,3.45
1991-02-28,1991,2,Arghakhanchi,27.9,83.2,0.72,93.6,3.59,25.19,18.51,-2.15,26.75,12.6,14.15,17.45,2.96,5.3,1.11,4.19,4.14,6.33,1.42,4.92
1991-03-31,1991,3,Arghakhanchi,27.9,83.2,8.65,93.31,3.86,21.43,22.73,-1.12,31.07,16.0,15.08,22.53,3.08,5.29,1.13,4.15,4.21,6.31,1.42,4.89
1991-04-30,1991,4,Arghakhanchi,27.9,83.2,0.53,93.0,3.48,14.35,27.19,-2.64,35.54,19.5,16.04,27.82,3.43,5.92,1.26,4.65,4.57,6.86,1.57,5.28
1991-05-31,1991,5,Arghakhanchi,27.9,83.2,25.56,92.71,5.51,17.73,31.58,3.25,39.36,23.73,15.63,32.87,3.48,6.01,1.21,4.8,4.61,6.89,1.59,5.3
1991-06-30,1991,6,Arghakhanchi,27.9,83.2,37.08,92.43,13.37,46.29,30.35,16.86,36.0,25.09,10.91,32.08,3.03,5.02,1.27,3.75,3.9,5.74,2.03,3.71
1991-07-31,1991,7,Arghakhanchi,27.9,83.2,165.76,92.35,17.49,64.94,28.83,21.42,33.67,24.68,8.99,29.99,3.06,4.8,1.38,3.42,4.06,5.71,2.27,3.44
1991-08-31,1991,8,Arghakhanchi,27.9,83.2,214.05,92.56,18.3,78.27,26.41,22.2,30.25,23.31,6.94,26.9,3.03,4.97,1.31,3.65,4.29,5.82,2.47,3.35
1991-09-30,1991,9,Arghakhanchi,27.9,83.2,192.08,92.97,17.21,82.12,24.63,21.21,28.42,21.67,6.75,24.69,2.02,3.65,0.7,2.95,2.75,4.1,1.15,2.95
1991-10-31,1991,10,Arghakhanchi,27.9,83.2,1.45,93.31,9.46,50.8,22.6,11.6,29.06,18.29,10.77,21.68,2.13,3.68,0.76,2.92,2.84,4.2,0.87,3.33
